run,data_stream,timestamp,raw:count,raw:total_size_gb,raw:size_per_file_gb,full-reconstructed:count,full-reconstructed:total_size_gb,full-reconstructed:size_per_file_gb,root-tuple-virtual:count,root-tuple-virtual:total_size_gb,root-tuple-virtual:size_per_file_gb,trigprim:count,trigprim:total_size_gb,trigprim:size_per_file_gb
28010,physics,20240714T021537Z,10824,45728.692,4.224749815225425,10812,7534.297,0.6968458194598594,10806,0.515,4.765870812511568e-05,,,
28011,cosmics,20240714T234605Z,552,2327.13,4.215815217391304,552,375.042,0.6794239130434783,552,0.026,4.710144927536232e-05,90,374.184,4.1576
28012,physics,20240715T011425Z,5352,22632.696,4.228829596412556,7480,3897.106,0.5210034759358289,7479,2.436,0.00032571199358202965,,,
28014,cosmics,20240715T085642Z,96,375.032,3.9065833333333333,192,62.6,0.3260416666666667,192,0.091,0.00047395833333333334,14,58.267,4.161928571428572
28016,cosmics,20240715T121724Z,7032,29690.143,4.222147753128556,10008,3721.263,0.37182883693045565,10003,74.307,0.007428471458562432,873,3655.737,4.187556701030928
28017,physics,20240715T231708Z,5609,23568.043,4.201826172223213,5591,2398.328,0.42896226077624755,5590,205.791,0.03681413237924866,,,
28018,cosmics,20240716T073633Z,2,7.508,3.754,2,3.565,1.7825,2,0.0,0.0,,,
28019,cosmics,20240716T081357Z,1,2.889,2.889,1,1.371,1.371,1,0.0,0.0,,,
28023,physics,20240716T154225Z,9200,39335.268,4.275572608695652,9188,5989.739,0.651908902916848,9184,282.678,0.030779398954703833,,,
28024,cosmics,20240717T062316Z,1505,6395.524,4.249517607973422,1498,947.082,0.6322309746328438,1498,46.225,0.030857810413885182,224,947.605,4.230379464285714
28025,cosmics,20240717T082008Z,640,2713.851,4.2403921875,639,401.825,0.6288341158059467,639,19.366,0.030306729264475744,74,310.307,4.193337837837838
28027,cosmics,20240717T083722Z,136,572.972,4.213029411764706,136,58.428,0.4296176470588235,136,5.807,0.04269852941176471,15,60.211,4.0140666666666664
28028,cosmics,20240717T085106Z,336,1398.345,4.161741071428572,336,143.931,0.42836607142857147,336,13.408,0.0399047619047619,69,290.326,4.2076231884057975
28029,cosmics,20240717T091848Z,88,346.284,3.9350454545454543,88,35.36,0.4018181818181818,88,3.228,0.036681818181818183,21,83.494,3.975904761904762
28031,cosmics,20240717T093509Z,256,1062.809,4.15159765625,256,108.442,0.4236015625,256,10.086,0.0393984375,45,188.835,4.1963333333333335
28034,cosmics,20240717T104859Z,1143,4805.836,4.204580927384077,1143,452.486,0.3958757655293088,1143,42.251,0.03696500437445319,153,643.312,4.204653594771242
28035,cosmics,20240717T122106Z,3864,16308.014,4.220500517598343,3857,2349.106,0.6090500388903294,3855,113.16,0.02935408560311284,429,1800.489,4.196944055944056
28046,cosmics,20240717T160906Z,744,3122.548,4.19697311827957,746,505.962,0.6782332439678284,744,22.938,0.03083064516129032,94,391.715,4.167180851063829
28047,cosmics,20240717T164340Z,824,3474.81,4.217002427184466,837,573.926,0.6856941457586619,829,23.786,0.02869240048250905,133,554.592,4.1698646616541355
28049,physics,20240717T180435Z,6520,27585.428,4.230893865030675,3415,2438.473,0.7140477306002928,3406,97.854,0.028729888432178507,,,
28053,cosmics,20240718T095739Z,264,1094.686,4.146537878787878,263,176.123,0.6696692015209125,263,8.02,0.030494296577946767,33,138.221,4.188515151515151
