run,data_stream,timestamp,version,check,raw:count,raw:total_size_gb,raw:size_per_file_gb,trigprim:count,trigprim:total_size_gb,trigprim:size_per_file_gb,full-reconstructed:count,full-reconstructed:total_size_gb,full-reconstructed:size_per_file_gb,full-reconstructed:check,root-tuple-virtual:count,root-tuple-virtual:total_size_gb,root-tuple-virtual:size_per_file_gb,root-tuple-virtual:check
28065,physics,20240719T132628Z,v09_91_02d01,,72,286.829,3.983736,,,,72,46.378,0.644138,0,72,2.036,0.028277,0
28066,physics,20240719T141327Z,v09_91_02d01,,448,1842.503,4.112729,,,,448,301.372,0.672705,0,448,12.208,0.02725,0
28067,physics,20240719T144114Z,v09_91_02d01,,136,553.645,4.070919,,,,136,54.957,0.40409500000000004,0,136,4.636,0.034088,0
28070,cosmics,20240719T152206Z,unknown,,,,,244,1026.863,4.208454,,,,,,,,
28071,physics,20240719T172738Z,v09_91_02d01,,696,2943.48,4.229137,,,,696,500.845,0.719604,0,696,22.05,0.031681,0
28072,physics,20240719T225709Z,v09_91_02d01,,10856,45951.661,4.232835,,,,10596,7847.322,0.740592,-260,10595,341.707,0.032250999999999995,-261
28073,cosmics,20240720T070052Z,v09_91_02d01,,72,284.991,3.958208,13,54.614,4.201076,72,50.635,0.7032630000000001,0,72,2.06,0.028611,0
28074,physics,20240720T071022Z,v09_91_02d01,,1160,4904.186,4.227746,,,,1146,949.135,0.828215,-14,1146,34.75,0.030321999999999998,-14
28075,cosmics,20240720T083458Z,unknown,,,,,44,184.655,4.1967039999999995,,,,,,,,
28076,cosmics,20240720T085513Z,unknown,,,,,10,40.428,4.042799,,,,,,,,
28077,cosmics,20240720T090730Z,unknown,,,,,19,75.912,3.995368,,,,,,,,
28078,physics,20240720T092111Z,v09_91_02d01,,48,200.576,4.178666,,,,47,37.266,0.7928930000000001,-1,47,1.385,0.029468,-1
28079,cosmics,20240720T102753Z,unknown,,,,,485,2038.666,4.203435000000001,,,,,,,,
28080,cosmics,20240720T130525Z,unknown,,,,,14,56.624,4.0445709999999995,,,,,,,,
28081,cosmics,20240720T133923Z,unknown,,,,,49,204.52,4.173877,,,,,,,,
28082,cosmics,20240720T134331Z,v09_91_02d01,,1760,7475.96,4.247704,271,1149.777,4.242719,1760,1287.747,0.7316739999999999,0,1760,57.023,0.032399000000000004,0
28083,physics,20240720T155523Z,v09_91_02d01,,320,1357.141,4.241065,,,,320,246.071,0.768971,0,320,10.302,0.032193,0
28084,cosmics,20240720T165933Z,v09_91_02d01,,2424,10283.336,4.2423,323,1369.478,4.239869,2424,1773.74,0.7317400000000001,0,2424,79.96,0.032985999999999994,0
28085,physics,20240720T194016Z,v09_91_02d01,,6808,29038.38,4.265331,,,,6780,5216.747,0.7694310000000001,-28,6780,215.642,0.031805,-28
28086,physics,20240721T065046Z,v09_91_02d01,,20671,88343.737,4.2738000000000005,,,,17846,14046.586,0.787099,-2825,17846,570.803,0.031984,-2825
28088,cosmics,20240722T100803Z,unknown,,,,,263,1111.933,4.227881999999999,,,,,,,,
28090,cosmics,20240722T114809Z,unknown,,96,383.668,3.996541,17,68.887,4.052176,,,,,,,,
28091,physics,20240722T121158Z,unknown,,176,743.733,4.225755,,,,,,,,,,,
28092,physics,20240722T134335Z,unknown,,2920,12411.236,4.250423,,,,,,,,,,,
28094,cosmics,20240722T185624Z,unknown,,3584,15227.276,4.2486809999999995,559,2345.356,4.195627,,,,,,,,
28095,physics,20240722T231830Z,unknown,,3800,16252.446,4.276959,,,,,,,,,,,
28096,cosmics,20240723T041309Z,unknown,,24,86.973,3.623875,5,21.057,4.211399999999999,,,,,,,,
28097,physics,20240723T044124Z,unknown,,552,2315.307,4.194395999999999,,,,,,,,,,,
28098,physics,20240723T051409Z,unknown,,1256,5343.043,4.254015000000001,,,,,,,,,,,
28099,physics,20240723T074326Z,unknown,,2120,9013.332,4.251571,,,,,,,,,,,
28105,cosmics,20240723T131626Z,unknown,,376,1583.601,4.211704,54,227.398,4.211074,,,,,,,,
28106,cosmics,20240723T134721Z,unknown,,2040,8673.417,4.251674,288,1216.916,4.225402,,,,,,,,
28109,physics,20240723T160735Z,unknown,,8704,37133.122,4.266213,,,,,,,,,,,
28111,cosmics,20240724T052122Z,unknown,,40,142.546,3.56365,7,28.893,4.127571,,,,,,,,
28112,physics,20240724T054122Z,unknown,,448,1883.582,4.204424,,,,,,,,,,,
28113,cosmics,20240724T063832Z,unknown,,2416,10272.006,4.251658,317,1332.658,4.203968,,,,,,,,
28116,cosmics,20240724T092854Z,unknown,,6728,28600.543,4.250972,889,3753.96,4.222677,,,,,,,,
28135,cosmics,20240725T161937Z,v09_91_02d01,,482,2049.617,4.252317,5546,23529.471,4.242602,751,352.757,0.469716,269,751,15.684,0.020884,269
28146,cosmics,20240726T095741Z,v09_91_02d01,,258,1084.405,4.20312,383,1625.072,4.2430069999999995,257,111.251,0.43288299999999996,-1,257,10.495,0.040836,-1
28147,calibration,20240726T101405Z,unknown,,8,9.101,1.137625,,,,,,,,,,,
28148,calibration,20240726T105040Z,unknown,,8,9.1,1.1375,,,,,,,,,,,
28150,calibration,20240726T110219Z,unknown,,8,9.088,1.136,,,,,,,,,,,
28151,calibration,20240726T110659Z,unknown,,8,9.101,1.137625,,,,,,,,,,,
28152,calibration,20240726T111132Z,unknown,,8,9.101,1.137625,,,,,,,,,,,
28153,calibration,20240726T111607Z,unknown,,8,9.101,1.137625,,,,,,,,,,,
28154,calibration,20240726T112045Z,unknown,,8,27.191,3.398875,,,,,,,,,,,
28155,calibration,20240726T112525Z,unknown,,8,27.277,3.409625,,,,,,,,,,,
28156,calibration,20240726T113002Z,unknown,,8,27.281,3.410125,,,,,,,,,,,
28157,calibration,20240726T113444Z,unknown,,8,27.268,3.4085,,,,,,,,,,,
28158,calibration,20240726T113921Z,unknown,,8,27.263,3.407875,,,,,,,,,,,
28159,calibration,20240726T114455Z,unknown,,8,9.109,1.138625,,,,,,,,,,,
28160,calibration,20240726T114930Z,unknown,,8,9.023,1.127875,,,,,,,,,,,
28161,calibration,20240726T115403Z,unknown,,8,9.082,1.13525,,,,,,,,,,,
28162,calibration,20240726T115838Z,unknown,,8,9.082,1.13525,,,,,,,,,,,
28163,calibration,20240726T120313Z,unknown,,8,9.101,1.137625,,,,,,,,,,,
