run,data_stream,timestamp,version,check,raw:count,raw:total_size_gb,raw:size_per_file_gb,trigprim:count,trigprim:total_size_gb,trigprim:size_per_file_gb,full-reconstructed:count,full-reconstructed:total_size_gb,full-reconstructed:size_per_file_gb,full-reconstructed:check,root-tuple-virtual:count,root-tuple-virtual:total_size_gb,root-tuple-virtual:size_per_file_gb,root-tuple-virtual:check
28085,physics,20240720T194016Z,,,6808,29038.38,4.265331,,,,,,,,,,,
28086,physics,20240721T065046Z,,,20671,88343.737,4.2738000000000005,,,,,,,,,,,
28088,cosmics,20240722T100803Z,,,,,,263,1111.933,4.227881999999999,,,,,,,,
28090,cosmics,20240722T114809Z,,,96,383.668,3.996541,17,68.887,4.052176,,,,,,,,
28091,physics,20240722T121158Z,,,176,743.733,4.225755,,,,,,,,,,,
28092,physics,20240722T134335Z,,,2920,12411.236,4.250423,,,,,,,,,,,
28094,cosmics,20240722T185624Z,,,3584,15227.276,4.2486809999999995,559,2345.356,4.195627,,,,,,,,
28095,physics,20240722T231830Z,,,3800,16252.446,4.276959,,,,,,,,,,,
28096,cosmics,20240723T041309Z,,,24,86.973,3.623875,5,21.057,4.211399999999999,,,,,,,,
28097,physics,20240723T044124Z,,,552,2315.307,4.194395999999999,,,,,,,,,,,
28098,physics,20240723T051409Z,,,1256,5343.043,4.254015000000001,,,,,,,,,,,
28099,physics,20240723T074326Z,,,2120,9013.332,4.251571,,,,,,,,,,,
28105,cosmics,20240723T131626Z,,,376,1583.601,4.211704,54,227.398,4.211074,,,,,,,,
28106,cosmics,20240723T134721Z,,,2040,8673.417,4.251674,288,1216.916,4.225402,,,,,,,,
28109,physics,20240723T160735Z,,,8704,37133.122,4.266213,,,,,,,,,,,
28111,cosmics,20240724T052122Z,,,40,142.546,3.56365,7,28.893,4.127571,,,,,,,,
28112,physics,20240724T054122Z,,,448,1883.582,4.204424,,,,,,,,,,,
28113,cosmics,20240724T063832Z,,,2416,10272.006,4.251658,317,1332.658,4.203968,,,,,,,,
28116,cosmics,20240724T092854Z,,,6728,28600.543,4.250972,889,3753.96,4.222677,,,,,,,,
